Fecha,Rosario,Paraná,Santa Fe,Ceres,Reconquista,Concordia,Gualeguaychú
5/26/2019,0,0,0,0,0,0,0
5/27/2019,0,0,0,0,0,0,0
5/28/2019,0,0,0,0,0,0,0
5/29/2019,0,0,0.6,3,0,0,0
5/30/2019,3,0,0,0,0.1,8,0
5/31/2019,0,0,0,0,0.3,0,0
6/1/2019,0,0,3,0,0,0,0
6/2/2019,0,0,0,0,0,0,0
6/3/2019,0,0,0,0,0,0,0
6/4/2019,0,0,0,0,0,0,0
6/5/2019,0,0,0,0,0,0,0
6/6/2019,6,0,0,0,0,0,2
6/7/2019,0,0,0,0,0,0,0
6/8/2019,0,0,0,0,0,0,0
6/9/2019,0,0,0,0,0,4,0
6/10/2019,0,0,0,0,0,3,2
6/11/2019,0,0,0,0,0.4,0,0
6/12/2019,1,3,2,0,0,10,13
6/13/2019,0,0,0,0,0.3,15,7
6/14/2019,10,18,8,0.5,0.1,8,18
6/15/2019,3,11,19,8,10,35,48
6/16/2019,0,6,5,0,4,58,34
6/17/2019,19,14,14,3,0,0.1,35
6/18/2019,0,0,0,0,0,1,0
6/19/2019,0,0,0,0,0,0,0
6/20/2019,0,0,0,0,0,0,0
6/21/2019,0,0,0,0,0,0,0
6/22/2019,0,0,0,0,0,0,0
6/23/2019,0,0,0,0,0,0,0
6/24/2019,0,0,0,0,3,3,0
6/25/2019,0,0,0,0,0,0,0
6/26/2019,0,0,0,0,0,0,0
6/27/2019,0,0,0,0,0,1,0
6/28/2019,0,0,0,0,0,0,0
6/29/2019,0,0,0,0,0,0,0.3
6/30/2019,0,0,0,0,0,0,0
7/1/2019,0,0,0,0,0,0,0
7/2/2019,0,0,0,0,0,0,0
7/3/2019,0,0,0,0,0,0,0
7/4/2019,0,0,0,0,0,0,0
7/5/2019,0,0,0,0,0,0,0
7/6/2019,0,0,0,0,0,0,0
7/7/2019,0,0,0,0,0,0,0
7/8/2019,0,0,0,0,0,0,0
7/9/2019,0,0,0,0,0,0,0
7/10/2019,0,0,0,0,0,0,0
7/11/2019,0,0,0,0,0,1,0
7/12/2019,0,0,0,0,0,0,0
7/13/2019,0,0,0,0,0,0,0
7/14/2019,0,0,0,0,0,0,0
7/15/2019,0,0,0,0,0,0,0
7/16/2019,0,0,0,0,0,0,0
7/17/2019,0,0,0,0,0,0,0
7/18/2019,0,0,0,0,0,0,0
7/19/2019,0,0,0,0,0,0,0
7/20/2019,0,0,0,0,0,0,0
7/21/2019,0,0.3,0,0,0,6,9
7/22/2019,0,0,0,0,2,0,0
7/23/2019,7,3,1,0.8,8,18,5
7/24/2019,2,22,30,20,24,35,3
7/25/2019,22,19,45,5,0.3,6.5,26
7/26/2019,0,0,0,0,0.1,0.6,0.3
7/27/2019,0,0,0,0,0.4,0,0
7/28/2019,2,0.3,0.4,0,0,0,0
7/29/2019,0,0,0,0,0,0,0
7/30/2019,0,0,0,0,0,0,0
7/31/2019,0,0,0,0,0,2,0
8/1/2019,0,0,0,0,0.1,7,0
8/2/2019,0,0,0,0,0,0,0
8/3/2019,0,0,0,0,0,0,0
8/4/2019,0,0,0,0,0,0,0
8/5/2019,0,0,0,0,0,0,0
8/6/2019,0,0,0,0,0,0,0
8/7/2019,0,0,0,0,0.5,5,0
8/8/2019,2,3,6,7,2,31,18
8/9/2019,1,2,0.9,0,0.3,1,10
8/10/2019,0,0,0,0,0,0,0
8/11/2019,0,0,0,0,0,0,0
8/12/2019,0,0,0,0,0,0,0
