Fecha,Rosario,Paraná,Santa Fe,Ceres,Reconquista,Concordia,Gualeguaychú
9/27/2020,0,0,0,0,0,0,0
9/28/2020,0,0,0,0,0,0,0
9/29/2020,0,0,0,0,0,0,0
9/30/2020,0,0,0,0,0,0,0
10/1/2020,0,0,0,0,4,0,0
10/2/2020,0,0,0,0,9,8,0
10/3/2020,0,0,0,0,0,0.3,0
10/4/2020,0.3,1,0,0,0,2,1
10/5/2020,0,0,0,0,0,0,0
10/6/2020,0,0,0,0,0,0,0
10/7/2020,0,0,0,0,0,0,0
10/8/2020,0,0,0,0,0,0,0
10/9/2020,0,0,0,0,0,0,0
10/10/2020,0,0,0,0,0,0,0.5
10/11/2020,0,0,0,0,0,0,0
10/12/2020,0,0,0,0,0,0,0
10/13/2020,0,0,0,0,2,0,0
10/14/2020,0,0,0,0,11,0,0
10/15/2020,0,0,0,0,0,0,0
10/16/2020,0,0,0,0,0,0,0
10/17/2020,0,0,0,0,8,0,0
10/18/2020,0,0,0,0,0,0,0
10/19/2020,40,28,22,18,0,0,12
10/20/2020,4,3,5,2,0,3,11
10/21/2020,3,0,0,0,0,0,2
10/22/2020,0.3,0.5,0,0,0,0,0
10/23/2020,2,35,1,0,0.1,13,0
10/24/2020,52,5,15,0,0,0,0
10/25/2020,17,27,26,10,42.3,20,13
10/26/2020,0,0,0,0,0,0,0
10/27/2020,0,0,0,0,0,0,0
10/28/2020,0.5,0,0,0,0,0,0
10/29/2020,0,0,0,0,0,0,0
10/30/2020,0,0,0,0,0,0,0
10/31/2020,0,0,0,0,0,0,0
11/1/2020,0,0,0,0,0,0,0
11/2/2020,0,0,0,0,0,0,0
11/3/2020,0,0,0,0,0,0,0
11/4/2020,0,0,0,0,0,0,0
11/5/2020,0,0,0,0,0,0,0
11/6/2020,0,0,0,0,0,0,0
11/7/2020,0,0,0,0,0,0,0
11/8/2020,0,7,1,2,7,3,0
11/9/2020,0,0,0,0,0,0,0
11/10/2020,0,0,0,0,0,0,0
11/11/2020,0,0,0,0,0,0,0
11/12/2020,0,0,0,0,0,0,0
11/13/2020,0,7,15,35,0,0,0
11/14/2020,3,9,7,17,37,4,0
11/15/2020,0,0,0,0,0,0,0
11/16/2020,0,0,0,0,0,0,0
11/17/2020,0,0,0,0,0,0,0
11/18/2020,0,0,0,0,0,13,0
11/19/2020,0,0,0,0,0,0,0
11/20/2020,0,0,0,0,0,0,0
11/21/2020,0,0,0,0.7,0,0,0
11/22/2020,0,0,0,0,0,0,0
11/23/2020,0,0,0,0,0,0,0
11/24/2020,22,6,6,2,0,0,12
11/25/2020,0,0,0,3,22,21,4
11/26/2020,0,0,0,0,0,0,0
11/27/2020,0.6,0,0,0,0,0,0
11/28/2020,36.2,42,87,3,28,46,36
11/29/2020,0,2,3,14,37,3,0
11/30/2020,0,0,0,0,0,0,0
12/1/2020,0.5,0.5,0.8,0,0,0,5
12/2/2020,37,46,29,12,76,46,7
12/3/2020,3,0,0,0,0,0,0
12/4/2020,0,0,0,0,0,0,0
12/5/2020,0,0,0,0,0,0,0
12/6/2020,0,0,0,0,0,0,0
12/7/2020,0,0,0,0,0,0,0
12/8/2020,0,0,0,0,0,0,0
12/9/2020,0,0,0,0,0,0,0
12/10/2020,0,0,0,0,0,0,0
12/11/2020,0,2,0.5,0,0.2,21,1
12/12/2020,2,25,27,3,87,35,9
12/13/2020,1,0,2,5,55,28,4
12/14/2020,0,0,0,0,0,0,0
12/15/2020,0,0,0,0,0,0,0
12/16/2020,0,0,0,0,0,0,0
12/17/2020,0,0,0,0,0,0,0
12/18/2020,24,24,16,20,43,34,16
12/19/2020,0,0,0,0,0.6,0,0
12/20/2020,0,0,0,0,0,0,0
12/21/2020,0,0,0,0,0,0,0
12/22/2020,0,0,0,0,0,0,0
12/23/2020,0,0,0,0,0,0,0
12/24/2020,0,0,0,3,0,0,0
12/25/2020,0,0,0,0,0,0,0
12/26/2020,0,0,0,0,0,17,0
12/27/2020,0,0,0,0,0,0,0
12/28/2020,0,36,0,21,0,0,0
12/29/2020,0,0,0,0,0,0,0
12/30/2020,8,4,4,5,0,11,2
12/31/2020,0,0,0,0,0,0,0
